right_hip_xyz,right_knee_xyz,right_ankle_xyz,knee_angle_xyz
"[0.5435415506362915, 0.6463807821273804, -0.0021102705504745245]","[0.531929612159729, 0.8036929965019226, -0.011687111109495163]","[0.5331098437309265, 0.9440138339996338, 0.09997235238552094]",137.7910504820752
"[0.5435112118721008, 0.6463443040847778, -0.002107751090079546]","[0.5319176912307739, 0.8037912845611572, -0.01168111339211464]","[0.5331018567085266, 0.9440203309059143, 0.09942688792943954]",137.91500706255425
"[0.5435055494308472, 0.6461982131004333, -0.00218431418761611]","[0.5319157838821411, 0.8038117289543152, -0.011814272031188011]","[0.533082902431488, 0.9440510869026184, 0.09814660251140594]",138.18842393890247
"[0.5434486269950867, 0.6461021900177002, -0.0022758005652576685]","[0.5319145321846008, 0.8038251996040344, -0.011930866166949272]","[0.5330749154090881, 0.9440367221832275, 0.0971272885799408]",138.40608834671562
"[0.5434439182281494, 0.6461448669433594, -0.0022656007204204798]","[0.5318892002105713, 0.8038352131843567, -0.011517086997628212]","[0.5330703258514404, 0.9440478086471558, 0.09776413440704346]",138.49274867488057
"[0.5434485673904419, 0.6461827158927917, -0.002297822618857026]","[0.5318719744682312, 0.804265558719635, -0.011459625326097012]","[0.5330443382263184, 0.9440465569496155, 0.09764888137578964]",138.49219016308226
"[0.5434380173683167, 0.6462735533714294, -0.002294822596013546]","[0.5317829251289368, 0.804397702217102, -0.010833092033863068]","[0.5330168008804321, 0.944036066532135, 0.09921477735042572]",138.44681751533918
"[0.5434314012527466, 0.6462599039077759, -0.0023517815861850977]","[0.5317795872688293, 0.8043670654296875, -0.011155350133776665]","[0.5330134034156799, 0.944019079208374, 0.09883733093738556]",138.36798856210964
"[0.5434213280677795, 0.6462392210960388, -0.002100857440382242]","[0.5317130088806152, 0.8043698072433472, -0.010584404692053795]","[0.5330135822296143, 0.9439693093299866, 0.10010483115911484]",138.29380214960975
"[0.5433832406997681, 0.646228551864624, -0.0020415829494595528]","[0.5316916704177856, 0.8043264746665955, -0.01059145200997591]","[0.5330114364624023, 0.9439727067947388, 0.09924165904521942]",138.49308641636824
"[0.5433589220046997, 0.646282434463501, -0.002059043850749731]","[0.5316894054412842, 0.8043860197067261, -0.010589169338345528]","[0.5330089926719666, 0.9439576268196106, 0.09867177903652191]",138.63045204408309
"[0.5433543920516968, 0.646280825138092, -0.002099578734487295]","[0.5316880941390991, 0.8043748140335083, -0.010593526996672153]","[0.533006489276886, 0.9439159631729126, 0.0987362340092659]",138.61996646701482
"[0.543317437171936, 0.6462572813034058, -0.0021584804635494947]","[0.5316401124000549, 0.8043712973594666, -0.010631151497364044]","[0.5330042243003845, 0.943912923336029, 0.09868220239877701]",138.6301203212185
"[0.543313205242157, 0.6462575197219849, -0.002173187443986535]","[0.5316469073295593, 0.8043891191482544, -0.010894563049077988]","[0.5330089926719666, 0.9439113140106201, 0.09668652713298798]",138.97784954968023
"[0.5433098077774048, 0.646285891532898, -0.0021924758329987526]","[0.5315762162208557, 0.8043343424797058, -0.01056685857474804]","[0.5330115556716919, 0.9438492655754089, 0.09669642150402069]",139.1750029018074
"[0.5432993769645691, 0.6462140679359436, -0.0021065562032163143]","[0.5315277576446533, 0.8040544986724854, -0.010541889816522598]","[0.5330106019973755, 0.9437739253044128, 0.09444553405046463]",139.772404408911
"[0.5432661175727844, 0.646222710609436, -0.002118214499205351]","[0.5314793586730957, 0.8040068745613098, -0.01047545112669468]","[0.5329900979995728, 0.9436674118041992, 0.09474398195743561]",139.72575499623795
"[0.5432604551315308, 0.646226704120636, -0.0021081981249153614]","[0.5314516425132751, 0.8040088415145874, -0.010443723760545254]","[0.5329861044883728, 0.9437867403030396, 0.09476436674594879]",139.7576424306922
"[0.5432550311088562, 0.6462260484695435, -0.002234093379229307]","[0.531407356262207, 0.8040117621421814, -0.011052602902054787]","[0.5329878330230713, 0.9437851309776306, 0.09478593617677689]",139.41695360504298
"[0.5432511568069458, 0.6462985873222351, -0.0025231766048818827]","[0.5314047932624817, 0.8041172623634338, -0.011103019118309021]","[0.5329793691635132, 0.9437693357467651, 0.09583637118339539]",139.1965821389862
